model	benchmark	context_tokens	context_label	task_id	repository	control_resolved	treatment_resolved	control_f2p_passed	control_f2p_total	control_f2p_fraction	treatment_f2p_passed	treatment_f2p_total	treatment_f2p_fraction	f2p_difference
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	004	astropy/astropy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	006	astropy/astropy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	007	astropy/astropy	0	0	0	0	0	0	20	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	008	astropy/astropy	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	009	astropy/astropy	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	013	astropy/astropy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	021	astropy/astropy	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	023	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	024	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	030	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	031	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	035	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	037	django/django	0	0	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	040	django/django	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	041	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	043	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	048	django/django	0	0	4	6	0.666666666667	4	6	0.666666666667	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	049	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	054	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	055	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	059	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	062	django/django	1	1	2	2	1	2	2	1	0
